plateforme;identifiant;url_actuelle;titre_vimeo;duree;etat;deja_dans_sanity;nb_usages;ou_elle_est_utilisee;URL_LIVID;fait
vimeo;276250997;https://vimeo.com/276250997;Pisten Bully - VR Mountain Planet;2:01;public;oui;4;ch:/actualites/video-immersive-360/ | en:/actualites/360-immersive-video/ | fr:/actualites/video-immersive-360/ | fr:/realisations/pisten-bully-dameuse-video-360-vr/;;
vimeo;345493886;https://vimeo.com/345493886;LPA - 50ans;5:44;public;oui;5;en:/actualites/50-years-of-lpa-a-lyonnaise-story/ | en:/corporate-film-in-lyon/ | fr:/actualites/50ans-de-lpa-une-histoire-lyonnaise/ | fr:/realisation-film-entreprise-lyon/ | fr:/realisations/lpa-50ans-video-anniversaire/;;
vimeo;551841042;https://vimeo.com/551841042;;;public;oui;5;ch:/actualites/bluevista-video-showreel-2021/ | en:/actualites/bluevista-video-showreel-2021/ | en:/actualites/bluevista-video-showreel-2023/ | fr:/actualites/bluevista-video-showreel-2021/ | fr:/realisations/bluevista-showreel-video-2021/;;
vimeo;273324669;https://vimeo.com/273324669;CPRO Voeux 2017;1:35;public;oui;5;ch:/actualites/carte-de-voeux-video/ | en:/actualites/video-greeting-card/ | fr:/actualites/carte-de-voeux-video/ | fr:/realisations/c-pro-carte-de-voeux-video-2017/ | fr:/realisations/c-pro-voeux-en-video-2017/;;
vimeo;126715306;https://vimeo.com/126715306;C'PRO Groupe - film corporate;1:22;public;oui;6;ch:/actualites/film-dentreprise-video-15-ans-dexperience/ | en:/actualites/corporate-film-video-15-years-of-experience/ | en:/corporate-films-in-lyon-since-2004/ | fr:/actualites/film-dentreprise-video-15-ans-dexperience/ | fr:/film-corporate-lyon-depuis-2004/ | fr:/realisations/c-pro-film-corporate-fiction/;;
vimeo;431503714;https://vimeo.com/431503714;"bluevista creative | ""Un monde virtuel #1 : la moto""";0:57;public;oui;6;ch:/nos-competences/animation-3d/ | en:/actualites/bluevista-creative-video-a-virtual-world-1-motorcycles/ | en:/our-skills/3d-animation/ | fr:/actualites/bluevista-creative-video-un-monde-virtuel-1-la-moto/ | fr:/nos-competences/animation-3d/ | fr:/realisations/bluevista-creative-un-monde-virtuel-1-la-moto/;;
vimeo;742265993;https://vimeo.com/742265993;PRINTEMPS - Mapping Festival;2:09;public;oui;6;ch:/nos-competences/video-mapping/ | en:/actualites/printemps-lyon-brand-change/ | en:/our-skills/video-mapping/ | fr:/actualites/mapping-printemps-lyon/ | fr:/nos-competences/video-mapping/ | fr:/realisations/printemps-video-mapping/;;
vimeo;417642640;https://vimeo.com/417642640;"bluevista creative | ""Une vraie équipe #1 - la flexibilité""";0:41;public;oui;6;ch:/ | en:/ | en:/actualites/bluevista-creative-video-a-real-team-1-flexibility-video/ | fr:/ | fr:/actualites/bluevista-creative-video-une-vraie-equipe-1-la-flexibilite/ | fr:/realisations/bluevista-creative-une-vraie-equipe-1-la-flexibilite/;;
vimeo;246337954;https://vimeo.com/246337954;Mapping Audi;3:30;public;oui;7;ch:/realisation-de-film-evenements/ | ch:/realisation-film-automotive/ | en:/film-production-automotive/ | en:/geneva-event-video-production/ | fr:/realisation-de-film-evenements/ | fr:/realisation-film-automotive/ | fr:/realisations/video-mapping-vehicule-audi-a8/;;
vimeo;276234551;https://vimeo.com/276234551;HITACHI - CSNet manager;2:35;public;oui;7;ch:/actualites/animation-3d-produit-hitachi-csnet-manager/ | ch:/realisation-film-lancement-produit/ | en:/actualites/3d-animation-hitachi-csnet-manager-product/ | en:/film-production-product-launch/ | fr:/actualites/animation-3d-produit-hitachi-csnet-manager/ | fr:/realisation-film-lancement-produit/ | fr:/realisations/hitachi-cs-net-video-3d/;;
