ancienne_url;nouvelle_url;code;motif;clics_12m
/nos-realisations/serl-video-360-vr/;/realisations/serl-parc-puy-d-or-video-360-vr/;301;réalisation (score 1);0
/nos-realisations/cera-fr/;/realisations/site-internet-cera-motion-design/;301;réalisation (score 1);0
/nos-realisations/abb-snk-3d-marine/;/realisations/abb-snk-animation-3d-fiction-marine/;301;réalisation (score 1);0
/nos-realisations/assisqual/;/realisations/assisqual-motion-design/;301;réalisation (score 1);0
/nos-realisations/tetro-ox/;/realisations/tetro-carre-senart-show-drone/;301;réalisation (score 1);0
/nos-realisations/cemoi-at-360/;/realisations/cemoi-video-3d-360-vr/;301;réalisation (score 1);0
/nos-realisations/sgs-making-of/;/realisations/sgs-reportage-making-of/;301;réalisation (score 1);0
/nos-realisations/abb-af-contactor/;/realisations/abb-af-contactor-film-produit/;301;réalisation (score 1);0
/nos-realisations/sgs-protection-lab/;/realisations/sgs-protection-lab-reportage-video/;301;réalisation (score 1);0
/nos-realisations/nightswapping/;/realisations/nightswapping-video-promotionnelle/;301;réalisation (score 1);0
/nos-realisations/santos-film-produced/;/realisations/santos-film-produit/;301;réalisation (score 1);0
/nos-realisations/gf-ds-family/;/realisations/gf-ds-family-video-corporate-3d-motion-design/;301;réalisation (score 1);0
/nos-realisations/40-years-siparex/;/realisations/40-ans-siparex-videomapping/;301;réalisation (score 1);0
/nos-realisations/santos-blender66/;/realisations/santos-film-produit/;301;réalisation (score 1);0
/nos-realisations/bluevista-creative-la-pizza/;/realisations/bluevista-creative-video-la-pizza/;301;réalisation (score 2);0
/actualites/show-reel-motion-design/;/realisations/motion-design-sodexo/;301;réalisation (score 2);0
/nos-realisations/stann-the-business-management-application/;/realisations/stann-presentation-video-de-l-application/;301;réalisation (score 2);0
/nos-realisations/koesio-voeux-2023/;/realisations/koesio-carte-de-v-ux-video-2023/;301;réalisation (score 2);0
/actualites/bluevista-video-showreel-2020/;/realisations/bluevista-showreel-video-2020/;301;réalisation (score 2);0
/actualites/nos-dernieres-interviews/;/realisations/nos-dernieres-interviews/;301;réalisation (score 2);0
/nos-realisations/presentation-video-cpro-en-1-minute/;/realisations/presentation-video-cpro-en-1-minute/;301;réalisation (score 2);0
/actualites/360-degree-immersion-realization-pisten-bully-snow-groomer/;/realisations/pisten-bully-dameuse-video-360-vr/;301;réalisation (score 2);0
/nos-realisations/verizon-connect-video-presentation/;/realisations/verizon-connect-video-de-presentation/;301;réalisation (score 2);0
