site;type;adresse;titre;modifie_le;mots_ancien;clics_12m;impressions_12m;position;existe_dans_sanity;genre;nb_paragraphes;nb_sections;videos;titre_seo;description_seo;image;redirection_proposee;texte_reecrit;canonique;donnees_structurees;verifie_au_rendu;note
ch;actualité;/actualites/un-tournage-en-preparation-dans-le-parc-naturel-regional-du-vercors/;Un tournage en préparation dans le Parc Naturel Régional du Vercors;2024-01-21;137;1;1;4.0;non;;;;;;;;(bluevista.ch — chantier séparé);;;;;
fr;actualité;/actualites/stann/;STANN.;2024-01-22;340;0;7614;7.1;non;;;;;;;;/realisations/stann/;;;;;
fr;réalisation;/nos-realisations/bluevista-creative-la-pizza/;Bluevista Creative | « La Pizza »;2024-01-21;81;0;1297;6.1;non;;;;;;;;/realisations/bluevista-creative-video-la-pizza/;;;;;
fr;page;/realisation-de-film-evenements/;Réalisation vidéo évènement Genève;2024-01-21;235;0;1091;27.4;non;;;;;;;;/;;;;;
fr;actualité;/actualites/aravi-saison-2022-2023/;ARAVI – Saison 2022/2023;2024-01-21;334;0;876;8.6;non;;;;;;;;/realisations/aravi-saison-2022-2023-reportages-video/;;;;;
fr;réalisation;/nos-realisations/bluevista-creative-unicorn-team/;Bluevista Creative | « Unicorn Team »;2024-01-21;93;0;828;6.3;oui;réalisation;;;oui;non;non;oui;/realisations/bluevista-creative-unicorn-team/;;;;;
fr;page;/actualites/;Actualités;2024-01-21;1068;0;516;26.3;non;;;;;;;;(bluevista.ch — chantier séparé);;;;;
fr;réalisation;/nos-realisations/cera-agence-innovation/;CERA – Agence Innovation;2024-01-21;90;0;515;37.1;non;;;;;;;;/realisations/cera-agence-innovation-motion-design/;;;;;
en;page;/our-skills/corporate-video-corporate-film/;Corporate video / corporate film;2024-01-21;187;0;268;54.5;non;;;;;;;;/;;;;;
fr;page;/nos-competences/;Nos compétences;2024-01-21;69;0;249;9.7;non;;;;;;;;(bluevista.ch — chantier séparé);;;;;
en;page;/metaverse/;Metaverse;2025-09-04;359;0;232;10.0;non;;;;;;;;/;;;;;
en;page;/news/;News;2024-01-21;957;0;229;11.6;non;;;;;;;;/;;;;;
fr;actualité;/actualites/sport-boules-16eme-trophee-emile-terrier/;Sport Boules : 16ème Trophée Émile Terrier;2024-01-21;335;0;221;10.8;non;;;;;;;;/realisations/sport-boules-16eme-trophee-emile-terrier/;;;;;
fr;actualité;/actualites/show-reel-motion-design/;Show reel Motion Design;2024-01-21;155;0;190;29.3;non;;;;;;;;/realisations/motion-design-sodexo/;;;;;
en;actualité;/actualites/stann/;STANN.;2024-01-22;301;0;165;8.2;non;;;;;;;;/realisations/stann/;;;;;
en;page;/film-production-industry/;Film production – Industry;2024-01-21;410;0;152;7.5;non;;;;;;;;/;;;;;
fr;réalisation;/nos-realisations/bluevista-creative-un-monde-virtuel-1-la-moto/;Bluevista creative | « Un monde virtuel #1 : la moto »;2024-01-21;124;0;148;13.1;oui;réalisation;;;oui;non;non;oui;/realisations/bluevista-creative-un-monde-virtuel-1-la-moto/;;;;;
