date,clics,impressions,ctr,position
2025-12-29,0,136,0,16.2
2026-05-09,0,136,0,28.3
2025-12-01,0,135,0,11.3
2025-12-06,0,135,0,14.1
2026-05-24,0,135,0,36.8
2026-03-30,0,134,0,21.2
2025-10-01,0,132,0,11.3
2025-08-06,0,131,0,26.2
2025-11-30,0,130,0,12.3
2026-01-02,0,130,0,17.9
2025-08-08,0,129,0,26.3
2025-11-16,0,128,0,10.5
2025-09-26,0,127,0,11.6
2025-12-07,0,127,0,12.7
2026-02-05,0,126,0,23
2026-02-01,0,125,0,19.6
2025-08-02,0,121,0,25.4
2025-11-29,0,120,0,15.5
2026-03-08,0,115,0,24
2025-08-10,0,108,0,26
2025-09-20,0,108,0,18
2026-02-13,0,108,0,22.2
2026-03-07,0,108,0,27
2026-03-22,0,107,0,21.4
2026-02-15,0,99,0,24.2
2026-03-21,0,86,0,21
2025-09-19,0,85,0,11
2026-02-28,0,83,0,16.7
2026-03-27,0,83,0,22.9
2026-02-22,0,82,0,17
2026-02-25,0,78,0,16.6
2025-05-06,0,77,0,58.7
2025-08-03,0,76,0,34
2025-09-13,0,62,0,14.5
2026-02-21,0,62,0,18.2
2025-04-28,0,57,0,59.5
2025-04-22,0,51,0,67.4
2025-04-23,0,51,0,70.1
2025-05-05,0,50,0,65.6
2025-04-25,0,49,0,66.6
2025-04-27,0,49,0,62.5
2025-04-26,0,46,0,66.3
2025-05-04,0,45,0,68.2
2025-04-30,0,43,0,69.8
2025-05-03,0,43,0,68.9
2025-05-01,0,42,0,72.9
2025-05-02,0,42,0,68.8
